Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Longitude,Largest Property Use Type - Gross Floor Area (ft²)_52000.0,Largest Property Use Type - Gross Floor Area (ft²)_54000.0,Largest Property Use Type - Gross Floor Area (ft²)_60000.0,Largest Property Use Type - Gross Floor Area (ft²)_63000.0,Largest Property Use Type - Gross Floor Area (ft²)_65000.0,Largest Property Use Type - Gross Floor Area (ft²)_66000.0,Largest Property Use Type - Gross Floor Area (ft²)_70000.0,Largest Property Use Type - Gross Floor Area (ft²)_75000.0,Largest Property Use Type - Gross Floor Area (ft²)_80000.0,Largest Property Use Type - Gross Floor Area (ft²)_Other,"NYC Borough, Block and Lot (BBL) self-reported_1019610001","NYC Borough, Block and Lot (BBL) self-reported_1019730001","NYC Borough, Block and Lot (BBL) self-reported_1020350001","NYC Borough, Block and Lot (BBL) self-reported_2028760055","NYC Borough, Block and Lot (BBL) self-reported_3-01920-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06789-0015","NYC Borough, Block and Lot (BBL) self-reported_4-06790-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06791-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06792-0600","NYC Borough, Block and Lot (BBL) self-reported_Other"
11361,4392520,52000.0,1938,1,100,71.4,40.619022,-73.962128,14.0,768.0,4.282206299391671,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2133,3549784,76000.0,2013,1,100,86.2,40.751597,-73.984213,5.0,84.0,4.468204330914934,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12957,4035675,103400.0,1956,1,100,62.6,,,,,4.152613470346076,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13383,5833113,84954.0,1938,1,100,74.1,,,,,4.318820558770089,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3872,1479144,516710.0,1983,1,100,58.1,40.75859,-73.968759,6.0,100.0,4.079230924412053,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3838,5218125,435609.0,1926,1,100,81.1,40.75555,-73.973979,5.0,92.0,4.407938016458383,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4767,4409749,67704.0,1905,1,100,72.4,40.787606,-73.955077,8.0,16001.0,4.29592393562047,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4102,4921993,184782.0,1983,1,100,120.6,40.756157,-73.963761,6.0,10601.0,4.800736969532067,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7373,3109825,102885.0,2007,1,100,72.2,40.841516,-73.885486,6.0,359.0,4.293195420967266,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6363,2595911,57796.0,1910,1,100,86.4,40.86568,-73.928873,12.0,287.0,4.470495282661489,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14277,4046129,54810.0,1942,1,100,49.3,,,,,3.9180050771056933,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3272,4407836,209780.0,1930,1,100,55.2,40.783296,-73.982743,7.0,163.0,4.028916756899646,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3977,5987001,84000.0,1959,1,90,52.8,40.760678,-73.966476,6.0,108.0,3.9852734671677386,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2242,5864867,475685.0,2014,1,95,46.6,,,,,3.8628327612373745,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13183,2804500,50367.0,2008,1,100,82.1,,,,,4.420044701861403,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14289,4940487,71826.0,1958,1,95,98.1,,,,,4.596129441335942,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11002,3520095,65952.0,1953,1,100,16.3,40.634155,-74.024806,10.0,68.0,2.8507065015037334,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2104,5039587,53463.0,1924,1,95,59.9,40.750719,-73.985967,5.0,84.0,4.109233174715851,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1415,3111362,55170.0,2008,1,100,63.3,40.741311,-74.006243,2.0,79.0,4.163559631243574,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2466,2800982,176584.0,1987,1,100,88.7,40.746178,-73.979209,6.0,72.0,4.49647076906475,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14013,2806232,235472.0,1952,155,100,149.1,,,,,5.011301738639416,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6968,4000381,94916.0,1985,1,100,60.8,40.818913,-73.89355,2.0,89.0,4.123903364463645,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14301,2729956,113136.0,1963,1,100,73.0,,,,,4.30406509320417,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7392,4495637,88511.0,1980,1,100,9.6,40.829029,-73.887148,3.0,123.0,2.3608540011180215,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5420,3098720,100961.0,1930,1,100,81.4,40.801462,-73.964971,7.0,195.0,4.411585436915426,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9162,2811850,105000.0,1850,1,100,146.8,40.674472,-74.016295,6.0,53.0,4.995860008514102,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10692,3856179,88820.0,1953,1,100,90.9,40.642272,-73.959517,14.0,51602.0,4.520701029361642,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6280,2789693,83290.0,1937,1,100,108.3,40.874871,-73.911702,8.0,309.0,4.694096395182493,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2138,3897775,51273.0,1916,1,100,55.5,40.751912,-73.983091,5.0,84.0,4.034240638152395,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5182,5866129,507265.0,2007,1,100,4.6,40.79559,-73.932351,11.0,178.0,1.7227665977411035,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5552,4038778,74087.0,2003,1,100,81.2,40.80527,-73.952782,10.0,220.0,4.409155302062135,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6412,4520863,177094.0,1931,1,100,82.7,40.816133,-73.917503,1.0,71.0,4.4272389774954295,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3385,2745646,177053.0,1985,1,100,75.8,40.787935,-73.971132,7.0,173.0,4.341204640153626,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6705,3531273,99723.0,1989,1,100,109.7,40.833041,-73.921703,4.0,195.0,4.706823839714591,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9396,3538784,90540.0,1900,1,100,182.5,40.676455,-73.944304,8.0,313.0,5.212214667494625,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1640,2632792,628697.0,1910,1,100,89.0,40.745112,-73.994919,4.0,91.0,4.499809670330265,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1457,2669826,75040.0,2005,1,100,67.4,40.749611,-74.004714,4.0,99.0,4.225372824628505,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7679,2558902,90650.0,1940,1,100,77.1,40.860663,-73.913243,7.0,257.0,4.35799005684564,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10412,2842088,69090.0,1941,1,100,100.5,40.654203,-73.94926,17.0,818.0,4.620058798481842,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12864,2802241,699956.0,1961,1,100,87.6,,,,,4.484131857611035,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8492,2804078,66368.0,1928,1,100,90.1,40.862715,-73.866434,11.0,330.0,4.511957804265912,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6933,3529404,64245.0,2007,1,100,115.1,40.827605,-73.895819,2.0,131.0,4.754451888703846,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3799,5029852,111310.0,1916,1,100,102.9,40.762123,-73.970389,5.0,11202.0,4.6434288981051814,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
